Word,Degree Centrality,Word,Closeness Centrality,Word,Betweenness Centrality
대해,0.13793103448275862,대해,0.23015873015873015,대해,0.7019704433497537
바이러스의,0.10344827586206896,지금까지,0.21641791044776118,지금까지,0.46798029556650245
변이,0.10344827586206896,최악이라고,0.20279720279720279,가운데,0.4433497536945813
코로나,0.06896551724137931,변이에,0.20279720279720279,최악이라며,0.41379310344827586
새로운,0.06896551724137931,뉴에,0.2013888888888889,스파이크돌기,0.3793103448275862
뉴에,0.06896551724137931,가운데,0.2013888888888889,단백질이,0.33990147783251234
최악이라고,0.06896551724137931,최악이라며,0.1858974358974359,뉴에,0.2955665024630542
평가하며,0.06896551724137931,평가하며,0.18125,극적으로,0.2955665024630542
긴급히,0.06896551724137931,출현한,0.18125,변이,0.24630541871921183
대응에,0.06896551724137931,변이,0.17682926829268292,최악이라고,0.24630541871921183
